trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.75, 'e': 0.7772447380689463}",30,0,-223.43238300215685,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
43,False,"{'a': 0.75, 'e': 0.7725952321069283}",20,0,-23.990142088556063,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
44,False,"{'a': 0.75, 'e': 0.7679735396567064}",25,0,-136.55529919060336,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.7633794943368535}",25,0,-108.48633120004057,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
46,False,"{'a': 0.75, 'e': 0.7588129307612417}",20,0,-25.637769761484783,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.7542736845330892}",20,0,-202.92179481692818,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
48,False,"{'a': 0.75, 'e': 0.7497615922390416}",25,16,2.206435975806035,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.75, 'e': 0.7452764914432889}",20,9,-18.30860349681477,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.75, 'e': 0.7408182206817181}",20,0,-145.2843046107544,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
51,False,"{'a': 0.75, 'e': 0.7363866194561004}",25,9,-79.64036202786131,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.75, 'e': 0.731981528228313}",20,0,-91.91165545714,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.75, 'e': 0.7276027884145958}",30,12,-37.90739966930537,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.75, 'e': 0.7232502423798428}",20,0,-58.21061561752436,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.7189237334319266}",20,0,-73.11147005653099,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.75, 'e': 0.7146231058160578}",30,0,-23.39362809832312,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.75, 'e': 0.7103482047091777}",30,0,-71.48433666929833,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.75, 'e': 0.7060988762143848}",20,0,-41.29702062716608,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.75, 'e': 0.7018749673553945}",25,0,-53.259094221823275,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.75, 'e': 0.6976763260710315}",25,0,-124.11439079321003,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
61,False,"{'a': 0.75, 'e': 0.6935028012097562}",20,0,-45.13300501203024,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.6893542425242228}",25,0,-59.71524517751158,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.6852305006658708}",20,0,-9.042131144739402,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.75, 'e': 0.6811314271795476}",20,0,-30.364604577830804,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.75, 'e': 0.6770568744981651}",25,0,-45.638878527339955,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.6730066959373868}",25,0,-34.46252612564076,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
67,False,"{'a': 0.75, 'e': 0.6689807456903472}",30,0,3.1875823606005254,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.75, 'e': 0.6649788788224024}",20,0,-20.56128293015556,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.75, 'e': 0.661000951265913}",25,7,-49.09702372349327,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
70,False,"{'a': 0.75, 'e': 0.6570468198150573}",25,0,-102.93819060330642,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
71,False,"{'a': 0.75, 'e': 0.6531163421206762}",25,0,-136.710537355667,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
72,False,"{'a': 0.75, 'e': 0.649209376685148}",20,4,-59.4961831156191,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.75, 'e': 0.6453257828572951}",25,0,-114.36603260810953,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
74,False,"{'a': 0.75, 'e': 0.6414654208273204}",30,0,-210.4191000279923,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
75,False,"{'a': 0.75, 'e': 0.6376281516217738}",30,0,-86.59731024171779,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.75, 'e': 0.6338138370985495}",30,0,-69.26898196880248,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
77,False,"{'a': 0.75, 'e': 0.6300223399419128}",30,22,-25.64754871590243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.75, 'e': 0.6262535236575565}",20,10,5.5098400084436445,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.6225072525676872}",30,8,-83.31697723393314,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
80,False,"{'a': 0.75, 'e': 0.6187833918061414}",25,0,-157.6768319991943,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
81,False,"{'a': 0.75, 'e': 0.6150818073135292}",25,0,-101.87051158913262,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.75, 'e': 0.6114023658324093}",20,0,-26.43588059222188,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
83,False,"{'a': 0.75, 'e': 0.6077449349024908}",20,0,-82.52322399914446,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
84,False,"{'a': 0.75, 'e': 0.6041093828558654}",20,15,3.5030587417190207,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.75, 'e': 0.6004955788122666}",20,0,-37.66766268749135,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.75, 'e': 0.5969033926743587}",25,1,-37.62230227129753,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.5933326951230526}",20,11,0.5882803382129331,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.75, 'e': 0.5897833576128511}",25,1,-61.60704006201931,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 1}",1
89,False,"{'a': 0.75, 'e': 0.5862552523672202}",20,0,-2.3441855430835767,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.75, 'e': 0.5827482523739902}",25,14,-13.315012034517995,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.75, 'e': 0.5792622313807826}",20,0,-35.5695800459822,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
92,False,"{'a': 0.75, 'e': 0.575797063890465}",30,0,-18.90388940018663,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
93,False,"{'a': 0.75, 'e': 0.5723526251566338}",25,0,-59.55577197832093,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
94,False,"{'a': 0.75, 'e': 0.5689287911791223}",25,0,-88.83796739502417,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
95,False,"{'a': 0.75, 'e': 0.5655254386995376}",20,0,-90.42342060970645,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.75, 'e': 0.562142445196823}",20,0,-18.621399690568147,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.75, 'e': 0.5587796888828469}",20,0,-109.27187137432067,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
98,False,"{'a': 0.75, 'e': 0.5554370486980188}",30,0,-117.96655355781853,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
99,False,"{'a': 0.75, 'e': 0.5521144043069312}",30,11,-18.439573161919494,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.75, 'e': 0.5488116360940269}",20,0,-29.637163316682436,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.75, 'e': 0.5455286251592939}",20,0,-0.5508279148390905,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.75, 'e': 0.5422652533139838}",20,0,-39.55482142811493,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
